gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2303159176	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-032	Animalia	Chordata	Mammalia	Pholidota	Manidae				FAMILY	Manidae	IN		1f001218-e6d3-4e97-a129-63475d0dac88									2018-10-11T00:00:00Z	11	10	2018	5480		HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.288Z		COORDINATE_INVALID
2303159175	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-024	Animalia	Chordata	Mammalia	Pholidota	Manidae	Manis	Manis javanica		SPECIES	Manis javanica Desmarest, 1822	CN	Daluo Town	1f001218-e6d3-4e97-a129-63475d0dac88									2018-07-17T00:00:00Z	17	7	2018	5219628	5219628	HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.284Z		
2303159174	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-001	Animalia	Chordata	Mammalia	Pholidota	Manidae	Manis			GENUS	Manis Linnaeus, 1758	CN	Jinxiashan Tree Farm	1f001218-e6d3-4e97-a129-63475d0dac88									2012-07-05T00:00:00Z	5	7	2012	2437177		HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.289Z		
2303159173	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-020	Animalia	Chordata	Mammalia	Pholidota	Manidae	Manis	Manis pentadactyla		SPECIES	Manis pentadactyla Linnaeus, 1758	CN		1f001218-e6d3-4e97-a129-63475d0dac88	26.1032	111.563							2018-05-29T00:00:00Z	29	5	2018	5219638	5219638	HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.284Z		GEODETIC_DATUM_ASSUMED_WGS84
2303159172	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-030	Animalia	Chordata	Mammalia	Pholidota	Manidae	Manis	Manis pentadactyla		SPECIES	Manis pentadactyla Linnaeus, 1758	CN		1f001218-e6d3-4e97-a129-63475d0dac88									2018-10-04T00:00:00Z	4	10	2018	5219638	5219638	HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.288Z		
2303159171	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-008	Animalia	Chordata	Mammalia	Pholidota	Manidae				FAMILY	Manidae	CN		1f001218-e6d3-4e97-a129-63475d0dac88									2014-08-26T00:00:00Z	26	8	2014	5480		HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.284Z		
2303159170	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-026	Animalia	Chordata	Mammalia	Pholidota	Manidae				FAMILY	Manidae	CN		1f001218-e6d3-4e97-a129-63475d0dac88	26.5902	118.2547							2018-08-05T00:00:00Z	5	8	2018	5480		HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.359Z		GEODETIC_DATUM_ASSUMED_WGS84
2303159169	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-004	Animalia	Chordata	Mammalia	Pholidota	Manidae				FAMILY	Manidae	CN		1f001218-e6d3-4e97-a129-63475d0dac88									2013-08-05T00:00:00Z	5	8	2013	5480		HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.286Z		
2303159168	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-009	Animalia	Chordata	Mammalia	Pholidota	Manidae	Manis			GENUS	Manis Linnaeus, 1758	CN	Dongyang District, North Street, Ganxi Road	1f001218-e6d3-4e97-a129-63475d0dac88									2015-04-03T00:00:00Z	3	4	2015	2437177		HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.288Z		
2303159167	725cffb7-27ea-4916-95bb-cd3c412c4851	CBCGDF-WR-010	Animalia	Chordata	Mammalia	Pholidota	Manidae	Manis	Manis pentadactyla		SPECIES	Manis pentadactyla Linnaeus, 1758	CN	Cha'ensi Town, Zhangshu Village	1f001218-e6d3-4e97-a129-63475d0dac88									2016-04-15T00:00:00Z	15	4	2016	5219638	5219638	HUMAN_OBSERVATION					unknown		CC0_1_0					2019-08-05T02:19:45.284Z		
